case_id,predicted_probability,loan_amount,income,dtir1,loan_amount_percentile,income_percentile,dtir1_percentile,cluster_id,predicted_label,status
6183,0.98734206,-1.2757807059141455,-8.506564517059603,-2.7875316539283674,0.12103746397694524,0.004425689584191025,0.01595306710580486,2,1,1
12844,0.9847786,-1.0377697744109091,-0.1603781032849758,-3.0978824879808937,0.16354466858789626,0.3211198023878139,0.007822149032523672,4,1,0
14795,0.96892,1.879982939843104,0.9810339749407918,-0.8219763715957,0.9896047756278303,0.9389666529435982,0.17815973651708522,1,1,0
7433,0.9675051,1.2319947555263744,-0.1214729762018341,1.7642805788420204,0.9008851379168382,0.34242486620008233,0.9645944833264718,7,1,1
12543,0.9636,-1.4082185175584807,-1.0051647217482376,0.6263275206494234,0.09921778509674763,0.05043227665706052,0.7508233841086867,5,1,1
11660,0.96213126,0.395329817473757,-0.9746496639571722,1.6608303008245116,0.6150679291889667,0.05413750514615068,0.9579044874433923,3,1,1
10242,0.92683566,2.167093212064372,0.8126332350287969,-2.684081375910859,0.9935158501440923,0.9015026759983532,0.018011527377521614,8,1,1
4680,0.92059904,0.1322774840518565,-0.3491950964596018,0.4194269646144058,0.5182173734046933,0.2276657060518732,0.6778509674763277,6,1,0
13018,0.9153345,-0.3190393406466966,0.0204790913135063,0.1090761305618793,0.34952655413750516,0.4283655825442569,0.5068958419102512,0,1,1
11669,0.91039777,-0.0470292506210095,0.4004139679173996,-0.4081752595256647,0.4449361877315768,0.7204610951008645,0.26646768217373407,9,1,0
